Title,URL,Priority
[OPEN] Impossible to zoom out on image submissions on Speedgrader- Pictures are not scaled to Preview,https://community.canvaslms.com/t5/Known-Issues/OPEN-Impossible-to-zoom-out-on-image-submissions-on-Speedgrader/ta-p/635496,high
[OPEN] The days counter for late submissions shows decimals for Checkpoints in speedgrader,https://community.canvaslms.com/t5/Known-Issues/OPEN-The-days-counter-for-late-submissions-shows-decimals-for/ta-p/635975,high
How do I grade Canvas Studio media submissions in SpeedGrader as an instructor?,https://community.canvaslms.com/t5/Canvas-Studio-Guide/How-do-I-grade-Canvas-Studio-media-submissions-in-SpeedGrader-as/ta-p/1722,high
How do I grade a Portfolium Course Assessment LTI assignment as an instructor?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-grade-a-Portfolium-Course-Assessment-LTI-assignment-as/ta-p/1477,high
"[OPEN]""c"" keyboard shortcut in speedgrader not working",https://community.canvaslms.com/t5/Known-Issues/OPEN-quot-c-quot-keyboard-shortcut-in-speedgrader-not-working/ta-p/635258,high
How do I reply to submission comments in the Inbox?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-do-I-reply-to-submission-comments-in-the-Inbox/ta-p/616667,high
Viewing icons instead of quiz scores in the Gradebook,https://community.canvaslms.com/t5/Troubleshooting/Viewing-icons-instead-of-quiz-scores-in-the-Gradebook/ta-p/847,high
[OPEN][iOS] Student | Users logged in on root account in a Consortia are unable to access PDFs for annotated assignment submissions,https://community.canvaslms.com/t5/Known-Issues/OPEN-iOS-Student-Users-logged-in-on-root-account-in-a-Consortia/ta-p/635500,high
What is SpeedGrader?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/What-is-SpeedGrader/ta-p/13,high
BlackBoard - Exclude LTI Grade Exchange per Assignment for Total Course Points,https://community.canvaslms.com/t5/Blackboard/BlackBoard-Exclude-LTI-Grade-Exchange-per-Assignment-for-Total/ta-p/1539,high
Submit a Peer Review Assignment,https://community.canvaslms.com/t5/Student-Guide/How-do-I-submit-a-peer-review-to-an-assignment/ta-p/293,high
Viewing quizzes that show no points in the Gradebook,https://community.canvaslms.com/t5/Troubleshooting/Viewing-quizzes-that-show-no-points-in-the-Gradebook/ta-p/843,high
[OPEN]The days counter for late submissions shows decimals for Checkpoints in traditional gradebook,https://community.canvaslms.com/t5/Known-Issues/OPEN-The-days-counter-for-late-submissions-shows-decimals-for/ta-p/635976,high
Classic Quizzes Quiz Item Analysis,https://community.canvaslms.com/t5/Canvas-Resource-Documents/Classic-Quizzes-Quiz-Item-Analysis/ta-p/387082,high
How do I add assignments to a course template in the assessment library?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-add-assignments-to-a-course-template-in-the-assessment/ta-p/485616,high
Curving Grades in Canvas,https://community.canvaslms.com/t5/Canvas-Resource-Documents/Curving-Grades-in-Canvas/ta-p/387085,high
Canvas Formula Quiz Question Helper Functions,https://community.canvaslms.com/t5/Canvas-Resource-Documents/Canvas-Formula-Quiz-Question-Helper-Functions/ta-p/387062,high
How do I edit or delete an event or assignment in the Calendar?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-do-I-edit-or-delete-an-event-or-assignment-in-the-Calendar/ta-p/617605,high
Linking from Blackboard to a pre-established assignment,https://community.canvaslms.com/t5/Blackboard/Linking-from-Blackboard-to-a-pre-established-assignment/ta-p/1530,high
Peer Review Tips,https://community.canvaslms.com/t5/Canvas-Resource-Documents/Peer-Review-Tips/ta-p/387092,high
Student Grade Visibility Flowchart,https://community.canvaslms.com/t5/Canvas-Resource-Documents/Student-Grade-Visibility-Flowchart/ta-p/387095,high
New Quizzes Quiz and Item Analysis,https://community.canvaslms.com/t5/Canvas-Resource-Documents/New-Quizzes-Quiz-and-Item-Analysis/ta-p/580197,high
How do I view and manage rubrics in the assessment library?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-view-and-manage-rubrics-in-the-assessment-library/ta-p/534028,high
How do I edit a rubric in the assessment library?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-edit-a-rubric-in-the-assessment-library/ta-p/534026,high
How do I generate a rubric report in the assessment library?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-generate-a-rubric-report-in-the-assessment-library/ta-p/534027,high
How do I view the Global Announcements page?,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-do-I-view-the-Global-Announcements-page/ta-p/618749,high
How do I add a scoring rubric to a collection as a teacher in the Student Growth Portfolio?,https://community.canvaslms.com/t5/Tennessee-SGP/How-do-I-add-a-scoring-rubric-to-a-collection-as-a-teacher-in/ta-p/1514,high
How do I add rubrics to the assessment library?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-add-rubrics-to-the-assessment-library/ta-p/1447,high
Linking from Schoology to a pre-established assignment,https://community.canvaslms.com/t5/Schoology/Linking-from-Schoology-to-a-pre-established-assignment/ta-p/1559,high
Linking from Moodle to a pre-established assignment,https://community.canvaslms.com/t5/Moodlecloud/Linking-from-Moodle-to-a-pre-established-assignment/ta-p/1543,high
How do I access Canvas Studio through my Canvas Course Navigation Menu as an instructor?,https://community.canvaslms.com/t5/Canvas-Studio-Guide/How-do-I-access-Canvas-Studio-through-my-Canvas-Course/ta-p/1710,high
How do I embed Canvas Studio media in a Canvas discussion as an instructor using a Chrome or Edge  browser?,https://community.canvaslms.com/t5/Canvas-Studio-Guide/How-do-I-embed-Canvas-Studio-media-in-a-Canvas-discussion-as-an/ta-p/594585,high
