Title,Priority,Source
How do I add an announcement in a course? ,high,Sharepoint
How do I create an assignment? ,high,Sharepoint
How do I create a new page in a course? ,high,Sharepoint
What are Modules?,high,Sharepoint
How do I add a Module? ,high,Sharepoint
How do I create a new page in a course? ,high,Sharepoint
What is the Inbox? ,high,Sharepoint
How do I create a survey in my course? ,high,Sharepoint
What are Modules?,high,Sharepoint
How do I create Modules?,high,Sharepoint
How do I add an external URL as a module item?,high,Sharepoint
How do I use the Syllabus as an instructor? ,high,Sharepoint
How do I create a discussion?,high,Sharepoint
How do I reply to a discussion?,high,Sharepoint
How do I mark a discussion reply? ,high,Sharepoint
How do I allow students to create anonymous course discussion topics? ,high,Sharepoint
How do I use the Inbox as an instructor? ,high,Sharepoint
How do I create a survey in my course?,high,Sharepoint
How do I upload a file to a course?,high,Sharepoint
How do I bulk upload files to a course? ,high,Sharepoint
How do I create a discussion?,high,Sharepoint
How do I use the Gradebook? ,high,Sharepoint
What are Groups? ,high,Sharepoint
What are Modules?,high,Sharepoint
How do I create Modules?  ,high,Sharepoint
How do I create a new page in a course? ,high,Sharepoint
How do I edit user roles in a course?,high,Sharepoint
How do I create a question bank in a course?,high,Sharepoint
How do I create a quiz with individual questions? ,high,Sharepoint
How do I create a quiz with a question group to randomize quiz questions?,high,Sharepoint
More information about Leganto Reading List ,high,Sharepoint
What is New Analytics? ,high,Sharepoint
How do I add a Scheduler appointment group in a course calendar? ,high,Sharepoint
How do I access Rich Content Editor?,high,Sharepoint
How do I add a module? ,high,Sharepoint
How do I add an external URL as a module item?,high,Sharepoint
How do I add hyperlinks to external URLs in the Rich Content Editor? ,high,Sharepoint
How do I record media using the Rich Content Editor? ,high,Sharepoint
How do I create a peer review assignment?,high,Sharepoint
How do I create a peer review discussion?,high,Sharepoint
How to build a Canvas course site,high,Sharepoint
Digital learning and teaching tools and technologies in ANU Canvas,high,Sharepoint
Setting up your Canvas Course Site,high,Sharepoint
Locating & Adjusting Quizzes ,high,Sharepoint
Navigating your Migrated course,high,Sharepoint
Access to Canvas now available for academics teaching Semester 2 and Winter courses,high,Sharepoint
Adjusting migrated course content,high,Sharepoint
prepare your course site in Canvas,high,Sharepoint
Using Canvas in each Teaching period,high,Sharepoint
How do I use the Accessibility Checker in the Rich Content Editor?,high,Sharepoint
Adjusting migrated assignments,high,Sharepoint
Creating H5P Content on Canvas_1,high,Sharepoint
Learning & Teaching,high,Sharepoint
Canvas support resources,high,Sharepoint
Copying migrated course content to a Teaching course LATEST,high,Sharepoint
Digital Plan Learning & Teaching and Student Experience November 2024 Showcase,high,Sharepoint
Canvas support resources,high,Sharepoint
Digital Plan Bulletin,medium,Sharepoint
Transforming student placements and career development,medium,Sharepoint
Transforming student placements and career development,medium,Sharepoint
New learning management system,medium,Sharepoint
Video 10 - Fixing duplicated file names-en-AU,medium,Sharepoint
Enhancing the learning experience of our students with disability with SensusAccess,medium,Sharepoint
Learning Management System(LMS) Fundamentals,medium,Sharepoint
NEW: Change Management Templates,medium,Sharepoint
Resources & downloads,medium,Sharepoint
Video resources,medium,Sharepoint
Getting Ready,medium,Sharepoint
Learning Management System(LMS) Fundamentals,medium,Sharepoint
Transitioning to Canvas: 7 things you can do to get ready,medium,Sharepoint
Wattle and Canvas: A Comparison,medium,Sharepoint
Canvas Preview: Your questions answered,medium,Sharepoint
Canvas Starter Pack,medium,Sharepoint
Canvas training portal,medium,Sharepoint
Training and Support resources,medium,Sharepoint
Access to Canvas: Getting Started,medium,Sharepoint
Glossary of Canvas Terms,medium,Sharepoint
How does Canvas define the terms used to describe its features and functions?,medium,Sharepoint
learning management system (LMS) Canvas unveiled,medium,Sharepoint
Canvas (LMS) Accessibility Checker,medium,Sharepoint
Canvas (LMS) Accessibility checker,medium,Sharepoint
Padlet and Canvas,medium,Sharepoint
Getting Started with Canvas,medium,Sharepoint
Information for colleges,medium,Sharepoint
[OPEN] Impossible to zoom out on image submissions on Speedgrader- Pictures are not scaled to Preview,high,Canvas
[OPEN] The days counter for late submissions shows decimals for Checkpoints in speedgrader,high,Canvas
How do I grade Canvas Studio media submissions in SpeedGrader as an instructor?,high,Canvas
How do I grade a Portfolium Course Assessment LTI assignment as an instructor?,high,Canvas
"[OPEN]""c"" keyboard shortcut in speedgrader not working",high,Canvas
How do I reply to submission comments in the Inbox?,high,Canvas
Viewing icons instead of quiz scores in the Gradebook,high,Canvas
[OPEN][iOS] Student | Users logged in on root account in a Consortia are unable to access PDFs for annotated assignment submissions,high,Canvas
What is SpeedGrader?,high,Canvas
BlackBoard - Exclude LTI Grade Exchange per Assignment for Total Course Points,high,Canvas
Submit a Peer Review Assignment,high,Canvas
Viewing quizzes that show no points in the Gradebook,high,Canvas
[OPEN]The days counter for late submissions shows decimals for Checkpoints in traditional gradebook,high,Canvas
Classic Quizzes Quiz Item Analysis,high,Canvas
How do I add assignments to a course template in the assessment library?,high,Canvas
Curving Grades in Canvas,high,Canvas
