ID,Name,File name,Type,Assignee,Date,link/PDF,Details
1,Transforming student placements and career development,,pdf,Yunru Chen,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/transforming-student-placements-career-development.aspx,"""New learning management system
Our transition to Canvas will happen in stages over the next two years (2024-2026). Our first showcase and training for ANU Information Technology Services administration staff kicked off in August 2024.?‘First look’ webinars will take place in September 2024. We are working closely with Associate Deans (Education), as well as local education design and support teams, who continue to provide valuable feedback on the transition from WATTLE to Canvas.

Behind the scenes, integration of key tools such as Turnitin, Echo360, and Leganto has commenced to ensure we have a connected learning ecosystem when we go live in Semester 2, 2025. """
2,Digital Plan Learning & Teaching and Student Experience November 2024 Showcase,,N/A,Yunru Chen,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/learning-teaching-student-experience-showcase-november-2024.aspx,not related
3,Copying migrated course content to a Teaching course LATEST,,pdf,Yunru Chen,14/03,https://anu365.sharepoint.com/:w:/r/sites/DigitalPlanHub/_layouts/15/Doc.aspx?sourcedoc=%7BA311AFA8-7140-4179-BF58-9967E3602426%7D&file=Copying%20migrated%20course%20content%20to%20a%20Teaching%20course.docx&action=default&mobileredirect=true&DefaultItemOpen=1,all
4,Canvas support resources,,pdf,Yunru Chen,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Canvas-Support-Resources.aspx,All
5,Learning Management System(LMS) Fundamentals,,pdf,Yunru Chen,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Fundamentals.aspx,all
6,Transitioning to Canvas: 7 things you can do to get ready,,pdf,Yunru Chen,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Transitioning-to-Canvas--9-things-you-can-do-to-get-ready.aspx,all
7,Wattle and Canvas: A Comparison,,pdf,Bei,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Wattle-and-Canvas-Comparison.aspx,all
8,Canvas Preview: Your questions answered,,pdf,Bei,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Canvas-previews-recap.aspx?csf=1&web=1&e=Bx5hTd&ovuser=e37d725c-ab5c-4624-9ae5-f0533e486437%2cu1118785%40anu.edu.au&CID=1ff053a1-c0a9-3000-d5d7-1df42389899c&cidOR=SPO&OR=Teams-HL&CT=1727853127758&clickparams=eyJBcHBOYW1lIjoiVGVhbXMtRGVza3RvcCIsIkFwcFZlcnNpb24iOiI0OS8yNDA4MTcwMDQyMSIsIkhhc0ZlZGVyYXRlZFVzZXIiOmZhbHNlfQ%3D%3D,FAQs about canvas
9,Canvas Starter Pack,,pdf,Bei,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Canvas-Starter-Pack.aspx?xsdata=MDV8MDJ8fGRhNTBlOWZkMzk3YjRhZTM4OTU1MDhkY2ZmODA2MDZkfGUzN2Q3MjVjYWI1YzQ2MjQ5YWU1ZjA1MzNlNDg2NDM3fDB8MHw2Mzg2NjYxNzQwMTg0NTU4OTN8VW5rbm93bnxWR1ZoYlhOVFpXTjFjbWwwZVZObGNuWnBZMlY4ZXlKV0lqb2lNQzR3TGpBd01EQWlMQ0pRSWpvaVYybHVNeklpTENKQlRpSTZJazkwYUdWeUlpd2lWMVFpT2pFeGZRPT18MXxMMk5vWVhSekx6RTVPbTFsWlhScGJtZGZUWHBWTUU1dFRUVk5iVlYwVG5wQk5WcFRNREJOUjA1dFRGUm9hVnBYU1hSTlYxRjVUbFJPYUUxVVFtdGFhbEY1UUhSb2NtVmhaQzUyTWk5dFpYTnpZV2RsY3k4eE56TXhNREl3TmpBd01EY3p8ZmYyNzE4MzhhMTNhNDQ3MTI3MzgwOGRjZmY4MDYwNmJ8YmUwNDY4YmI1ZTNhNDQ2MWFjNWZmZTI0Y2M5ODhhNmU%3D&sdata=cXRRaFdWcHg2Vjdxay9jUkJnMFpPN0xMK0FUWkNXeGd6bmJuQzZHRlAybz0%3D&ovuser=e37d725c-ab5c-4624-9ae5-f0533e486437%2cu1154943%40anu.edu.au&OR=Teams-HL&CT=1731446305938&clickparams=eyJBcHBOYW1lIjoiVGVhbXMtRGVza3RvcCIsIkFwcFZlcnNpb24iOiI0OS8yNDEwMjAwMTMxNiIsIkhhc0ZlZGVyYXRlZFVzZXIiOmZhbHNlfQ%3D%3D,all
10,Canvas training portal,,pdf,Bei,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/New-asynchronous-Canvas-training-portal-now-available.aspx,all
